floor_number,no_of_flats,flat_area_sft,no_of_rooms,sand_tons,cement_tons,no_of_bricks,labour_count,labour_hours
0,4,1629,3,46.15,37.56,9831,16,112
8,1,1921,1,47.52,40.54,11874,19,209
9,2,901,6,26.11,21.84,5748,9,99
2,2,706,2,20.25,11.52,4073,7,56
3,4,478,1,12.65,6.75,3194,4,32
6,3,1359,6,27.8,25.69,7383,13,78
6,3,375,4,9.7,5.11,2064,3,24
1,1,1023,3,30.12,18.49,6103,10,110
5,4,982,2,27.21,16.28,5558,9,72
10,4,432,5,8.56,6.13,2741,4,24
0,4,749,2,17.33,10.82,4087,7,70
1,2,662,6,18.29,10.55,4321,6,54
1,1,1980,1,35.65,46.04,13053,19,171
1,4,1505,1,35.38,37.09,9374,15,165
10,2,1755,4,43.39,38.48,8850,17,187
8,4,1250,4,31.56,30.7,7257,12,96
0,3,1175,4,25.69,17.66,7302,11,77
7,3,994,1,20.2,14.69,5648,9,63
4,2,1446,3,31.58,19.55,9995,14,126
3,4,1630,1,46.57,37.3,11324,16,160
5,3,1326,2,39.23,31.63,7453,13,91
3,4,1215,5,35.56,29.63,6466,12,72
2,4,605,5,12.37,9.24,4084,6,54
2,4,1132,1,22.65,26.69,7205,11,77
0,4,1810,4,53.55,27.26,12301,18,162
7,1,1272,1,35.05,26.54,8747,12,96
5,1,1327,6,33.18,17.44,8072,13,117
10,4,1305,1,38.83,19.54,8806,13,104
6,2,1929,5,38.09,36.33,12675,19,133
10,4,431,6,12.37,7.38,2343,4,44
4,2,1927,3,47.49,42.93,12780,19,114
8,1,1292,2,36.94,16.29,8013,12,120
0,4,465,3,13.88,8.8,3250,4,44
4,4,1165,1,26.93,26.2,6202,11,121
0,3,1131,5,26.69,13.96,6231,11,88
2,2,1663,1,37.53,27.48,11112,16,176
10,4,748,6,18.55,9.11,4764,7,63
9,3,619,6,13.83,10.29,3187,6,72
2,4,1340,3,26.08,18.77,8332,13,78
7,1,392,5,10.03,5.52,2687,3,18
7,2,1085,2,30.89,24.96,6161,10,110
2,3,694,5,12.84,10.95,4337,6,54
5,4,505,5,11.47,9.62,2636,5,45
7,1,871,2,22.07,11.56,5990,8,56
4,4,1319,4,36.91,24.53,8687,13,117
9,3,1325,5,33.71,20.35,8291,13,130
7,2,1780,3,36.81,41.23,10005,17,187
1,2,1921,3,44.91,36.99,12698,19,190
5,4,1201,2,30.64,21.87,6174,12,96
1,1,487,3,9.47,11.24,2486,4,28
5,1,1595,5,37.8,37.86,9319,15,150
7,4,1347,5,29.88,27.17,7601,13,156
7,1,1631,3,47.69,40.01,8918,16,160
3,1,1505,2,34.63,26.23,8867,15,180
3,4,1425,2,36.18,22.77,9755,14,126
10,2,912,4,23.7,18.28,5304,9,81
3,1,1432,2,37.52,34.24,9011,14,168
9,4,1296,1,37.66,21.5,7630,12,84
2,4,1939,1,49.14,30.24,9999,19,133
3,4,708,3,17.12,14.96,4933,7,56
2,4,405,6,10.72,5.68,2237,4,44
3,2,1121,6,33.12,16.89,6089,11,77
9,1,1678,6,48.21,39.81,10394,16,144
5,1,918,4,18.55,12.45,5692,9,81
2,1,1948,4,52.85,37.75,11779,19,152
10,4,766,5,20.81,17.29,4961,7,77
3,3,1347,2,30.87,22.01,8995,13,91
4,1,1956,1,43.17,35.71,10618,19,152
7,2,1773,6,42.13,28.76,10502,17,153
9,3,430,3,8.6,7.76,2738,4,40
8,2,1589,2,47.14,19.32,10898,15,105
5,3,1776,4,45.47,32.37,11339,17,204
5,4,1130,1,31.28,15.21,6919,11,99
10,4,1438,2,37.59,32.9,8144,14,112
0,3,1340,5,36.38,22.15,8251,13,143
3,4,1977,1,38.12,43.98,11653,19,171
6,4,1357,3,30.0,20.86,8603,13,91
7,4,576,6,11.66,8.84,3239,5,55
3,4,925,4,20.4,18.73,6361,9,108
2,3,925,4,23.73,22.7,4895,9,108
9,2,569,5,14.46,11.22,3580,5,40
9,3,1713,2,43.26,26.71,8912,17,153
0,3,555,4,12.79,12.03,2893,5,30
7,1,361,1,8.31,7.87,2306,3,27
8,3,1009,1,24.34,16.15,5172,10,60
1,4,1313,2,36.76,29.51,8624,13,91
1,4,1187,3,25.49,21.45,6898,11,88
10,4,1000,5,19.01,22.03,6835,10,100
6,4,1450,3,36.8,25.96,9830,14,168
5,4,648,2,14.15,10.29,3287,6,72
10,3,1456,6,39.43,26.97,8219,14,98
5,4,1390,5,25.19,24.27,9198,13,104
9,3,1359,2,38.05,17.83,8965,13,104
3,1,1335,6,31.03,25.86,7487,13,117
4,2,1248,5,29.81,26.14,7126,12,72
9,4,1745,2,51.09,31.46,10186,17,119
9,1,1994,3,57.27,45.99,13539,19,228
1,3,1313,3,28.65,23.61,7834,13,104
2,4,1021,1,20.88,22.67,5170,10,120
0,1,412,1,9.75,5.55,2240,4,28
1,1,703,3,20.95,15.73,4158,7,63
1,1,1768,2,36.6,36.4,12062,17,136
2,4,318,2,7.91,7.48,2118,3,21
3,2,1116,4,21.99,18.77,6398,11,77
2,4,982,1,21.66,14.81,6189,9,81
2,1,1161,6,22.17,22.55,7599,11,99
8,4,1148,1,30.12,26.69,6967,11,121
5,1,629,5,13.51,10.93,4090,6,60
9,2,1891,3,54.65,23.51,13186,18,126
5,1,927,5,22.11,16.05,6042,9,90
7,3,771,3,16.12,12.09,5379,7,49
5,2,1635,3,37.88,30.49,9136,16,176
10,1,1295,6,24.66,23.34,7495,12,144
3,4,1829,4,35.13,37.55,9382,18,108
5,3,1279,2,31.43,30.1,6856,12,96
8,3,981,6,20.12,12.06,6023,9,63
6,2,1196,4,33.24,27.97,6788,11,110
4,3,1018,1,23.31,19.81,5257,10,110
9,3,1548,6,31.75,29.11,8336,15,165
8,4,493,3,12.46,10.65,2814,4,36
1,4,1002,5,21.67,17.75,5160,10,120
7,1,489,1,12.2,10.38,2457,4,44
4,2,809,4,15.15,13.73,4162,8,80
7,4,677,5,17.8,13.79,4002,6,54
7,2,1744,2,39.65,39.28,9027,17,187
7,4,537,4,14.21,9.53,3089,5,55
1,3,1920,4,37.01,43.16,11592,19,114
8,2,393,1,9.16,9.02,2368,3,21
7,3,1422,4,31.17,22.88,9929,14,84
10,1,623,2,14.91,12.33,3486,6,54
7,3,1366,6,33.29,18.43,8223,13,78
3,4,753,4,21.6,10.62,4087,7,70
6,2,505,1,12.06,11.22,3347,5,40
5,4,775,4,19.25,19.34,4620,7,70
10,3,812,1,21.46,11.91,4738,8,72
0,2,1088,1,28.72,26.33,6526,10,60
0,2,958,2,19.41,22.69,4946,9,54
7,2,1511,4,27.21,36.4,8308,15,165
3,3,1422,1,29.66,20.69,7298,14,84
8,1,536,5,14.12,7.44,3117,5,30
10,1,1737,5,38.32,36.73,10733,17,187
8,3,521,5,15.26,11.6,3395,5,45
7,3,1469,6,32.32,21.73,9548,14,140
5,2,1238,6,25.57,18.2,7292,12,132
8,2,637,6,14.57,12.21,3697,6,36
9,3,1088,1,29.28,13.35,7018,10,80
0,2,1015,6,23.85,21.12,6314,10,90
7,3,978,4,21.37,18.15,6425,9,90
9,4,1838,1,38.57,43.36,11588,18,144
6,2,1839,3,45.26,32.69,12810,18,180
5,2,772,2,17.83,16.33,4558,7,77
1,4,876,3,15.81,13.14,4769,8,64
7,1,1308,4,25.87,22.71,7526,13,130
1,4,877,4,17.69,20.6,4494,8,88
6,1,1025,5,25.67,21.16,6664,10,110
3,4,1051,2,30.58,22.7,5375,10,70
10,2,1848,1,35.35,25.67,12225,18,144
3,1,1290,5,33.4,31.7,7825,12,84
5,2,668,2,18.18,12.93,4633,6,72
1,3,1926,1,55.95,43.32,12775,19,133
0,4,846,2,22.79,14.93,5920,8,80
10,1,1332,4,35.61,32.09,7001,13,104
6,2,1211,6,30.25,23.79,7872,12,84
8,1,1027,2,25.28,16.9,5147,10,110
6,3,1109,5,25.01,14.94,6927,11,77
10,3,1204,2,36.01,27.87,8201,12,120
8,4,1216,4,35.96,30.34,7513,12,120
8,1,1105,5,21.67,16.35,7710,11,88
1,4,310,5,9.24,4.21,1907,3,21
1,4,895,5,22.97,19.17,5441,8,80
5,1,1261,5,36.85,28.45,7950,12,120
10,3,1831,1,40.13,26.35,9682,18,108
9,4,1560,2,45.85,37.33,9895,15,105
1,1,634,3,12.08,10.23,3374,6,66
3,4,1533,1,37.75,25.69,8466,15,135
7,3,668,4,19.52,8.72,3940,6,60
8,2,1000,1,29.06,16.31,5442,10,60
10,1,941,5,19.44,17.05,5208,9,54
10,2,1780,2,50.26,32.06,11202,17,136
3,4,1056,2,27.98,22.48,7159,10,70
9,1,1064,1,22.57,17.4,5346,10,90
0,2,1407,5,40.12,20.74,7928,14,140
7,3,946,5,21.08,19.07,4978,9,108
2,4,1984,6,49.57,45.11,13073,19,114
2,3,896,2,16.63,13.36,5089,8,72
8,1,477,3,10.86,8.23,3113,4,32
10,1,721,1,18.68,11.23,4568,7,42
3,2,1339,2,26.1,28.86,9309,13,91
7,4,1416,1,26.08,22.2,8285,14,112
10,2,983,1,28.45,18.72,6673,9,54
0,3,1112,3,25.12,17.18,7142,11,77
2,3,1800,3,51.91,43.16,12075,18,108
9,1,725,3,19.86,12.18,4069,7,49
7,2,1120,1,27.53,16.98,6778,11,121
8,2,1025,5,25.64,19.0,5354,10,120
1,4,1260,1,24.54,22.21,6656,12,108
5,4,1536,2,36.86,37.4,9936,15,150
7,4,1635,2,36.31,27.28,8204,16,128
9,2,1076,3,24.95,21.46,5462,10,90
4,1,1458,4,40.69,25.53,7737,14,112
6,2,1475,6,38.67,29.12,8351,14,154
4,2,353,5,9.48,8.76,2115,3,33
7,4,1745,1,31.55,25.66,9006,17,153
1,4,1407,4,27.1,24.52,7739,14,112
4,3,469,4,11.63,10.58,2534,4,40
1,2,1519,6,39.75,19.31,8022,15,90
4,1,1372,1,26.35,22.02,8270,13,91
8,2,1171,1,23.25,21.91,6136,11,77
7,3,1583,6,38.39,20.21,8605,15,165
0,3,1148,6,23.68,28.41,6444,11,88
3,3,1675,2,36.61,40.01,9751,16,128
4,1,1898,1,42.64,27.83,10425,18,180
4,2,1887,2,45.73,45.79,12311,18,108
9,3,1490,3,43.77,22.04,8910,14,140
0,4,876,3,16.48,17.7,5466,8,72
10,3,1880,6,43.87,43.3,11143,18,180
9,3,1855,1,39.97,32.48,9648,18,126
8,4,1129,3,33.31,19.89,6575,11,66
1,2,424,6,9.61,7.24,2280,4,32
8,2,432,1,8.49,7.33,3008,4,44
9,1,1389,5,27.79,25.14,8843,13,117
5,4,1514,1,39.11,35.59,7590,15,105
2,1,1461,5,27.87,23.95,7770,14,112
9,3,1070,3,24.14,13.36,6814,10,120
2,2,1383,3,30.74,20.05,8410,13,156
2,2,1330,4,28.01,28.23,8753,13,104
1,2,1463,6,42.72,35.76,8573,14,112
10,1,1337,3,25.82,21.37,9118,13,156
6,1,1076,3,21.82,13.39,5796,10,70
7,3,727,3,13.3,10.65,3663,7,42
3,1,1411,2,25.56,18.06,7874,14,84
9,3,1977,4,38.77,45.03,12345,19,152
4,3,1727,3,48.2,28.01,8954,17,102
5,3,1555,6,43.82,29.5,9332,15,150
5,2,1765,3,37.15,37.79,10810,17,136
9,1,1990,1,46.92,36.2,12480,19,190
5,1,1138,5,26.46,23.2,6843,11,66
1,1,1842,3,39.3,40.01,11735,18,144
0,3,655,2,14.6,15.3,3744,6,36
3,1,1865,1,33.94,42.55,10110,18,198
7,3,661,6,16.46,10.42,4475,6,48
8,2,1221,3,25.35,26.86,7990,12,84
10,4,1768,1,35.71,37.8,9259,17,170
9,2,1183,5,26.38,24.84,8262,11,99
3,3,1482,4,35.21,29.06,9839,14,126
1,3,462,1,11.69,5.95,2445,4,48
8,3,1436,4,39.55,28.71,7249,14,126
4,2,1276,6,34.89,31.49,7779,12,72
0,2,683,3,16.21,16.82,4031,6,48
6,3,1396,4,39.06,17.36,8425,13,143
8,2,597,2,13.15,8.05,3572,5,30
9,2,1032,6,30.45,18.34,7148,10,80
7,3,1382,5,40.36,18.2,7254,13,130
7,2,704,6,16.89,9.17,3833,7,49
5,2,1377,1,34.21,24.92,8507,13,156
1,4,834,5,19.5,19.78,5652,8,72
5,2,1908,4,48.09,33.69,10127,19,228
10,2,601,6,10.89,12.78,4133,6,36
0,1,1672,4,31.85,30.96,10868,16,96
1,4,1118,5,23.59,18.0,5960,11,99
10,2,328,5,9.76,5.52,1663,3,24
0,1,474,4,10.22,8.92,2460,4,36
10,4,1992,5,56.96,27.22,11048,19,114
4,1,1167,1,31.96,24.9,6309,11,66
4,2,829,1,23.41,12.49,5704,8,56
8,4,1209,2,33.11,17.05,6886,12,72
7,3,902,1,20.76,13.51,4742,9,63
5,3,1585,3,46.7,21.01,10790,15,135
2,4,739,1,17.2,10.52,4349,7,49
0,4,1050,6,30.2,23.87,7168,10,100
4,4,729,5,16.7,12.77,4674,7,49
6,1,708,5,20.11,12.88,4468,7,77
2,3,671,6,16.48,9.71,4337,6,54
0,3,1060,1,28.12,23.58,6354,10,120
4,1,767,3,18.21,11.39,4979,7,63
5,3,1740,5,35.66,25.89,11760,17,170
6,3,351,2,8.67,5.01,1767,3,21
7,1,318,6,5.89,5.46,1847,3,24
3,4,1573,6,42.05,33.77,9974,15,150
8,2,941,5,27.1,15.54,6337,9,54
10,1,331,4,8.09,6.8,2131,3,18
0,3,1473,2,27.34,35.9,8865,14,98
0,1,1131,2,28.43,21.2,7335,11,99
4,3,1398,6,28.75,32.12,8283,13,143
5,3,1653,5,45.2,31.92,8884,16,112
1,2,1430,4,26.05,35.53,9628,14,112
1,3,1400,4,25.81,27.73,8241,14,126
2,2,738,3,17.77,10.04,4699,7,70
2,4,1007,1,19.03,20.12,6680,10,80
5,2,488,3,12.98,11.85,3065,4,48
0,2,1868,2,53.3,36.51,9405,18,144
6,3,988,4,27.94,23.87,6030,9,90
7,3,899,4,19.4,13.32,5677,8,96
3,4,1752,2,40.74,42.11,9521,17,153
5,3,800,2,20.99,10.24,5598,8,80
4,4,1518,1,36.99,23.98,7623,15,120
8,4,1247,2,29.27,25.78,7064,12,120
1,2,366,6,10.37,5.09,1832,3,18
4,1,1130,6,29.1,21.49,6779,11,121
7,3,1800,6,45.04,25.09,9150,18,198
8,3,828,1,18.7,17.42,4846,8,64
7,3,1642,4,47.01,29.8,10958,16,96
5,3,873,5,20.71,18.69,5427,8,56
4,4,1288,2,34.4,21.36,8395,12,108
9,3,1315,6,28.91,24.35,6928,13,104
6,2,525,4,11.55,9.52,2678,5,50
3,1,431,5,12.79,6.45,2563,4,28
3,1,1751,4,38.54,38.33,11221,17,102
3,3,1435,2,34.36,34.56,9208,14,154
6,3,487,4,14.54,8.88,2484,4,36
3,4,1148,3,20.78,21.25,7287,11,110
3,4,1116,4,31.64,16.83,6273,11,110
5,1,594,4,12.68,12.41,4028,5,60
8,4,1990,2,55.26,37.68,12322,19,209
9,4,1671,5,38.27,27.55,10359,16,112
0,4,1967,6,42.7,28.59,10463,19,114
8,1,1428,1,36.79,19.29,8288,14,168
8,1,1556,4,40.09,24.95,9888,15,135
0,2,1837,5,47.89,25.66,9897,18,180
7,2,1222,5,22.18,26.99,6720,12,132
7,1,1380,1,40.31,21.61,7404,13,130
6,1,673,1,18.87,15.53,4381,6,42
4,2,804,6,21.44,10.11,5221,8,80
2,1,1601,6,31.2,37.82,8588,16,96
0,2,1694,5,48.79,31.36,10666,16,144
9,1,1546,2,35.66,30.31,8435,15,180
3,4,923,1,26.78,12.63,4726,9,63
5,4,1555,1,28.82,31.69,9080,15,165
3,1,559,4,13.37,11.79,3159,5,35
6,2,931,5,24.41,17.24,5152,9,72
6,1,625,5,14.57,9.9,3883,6,54
6,1,1192,4,24.18,26.42,6576,11,66
1,1,1268,6,25.94,25.03,6658,12,96
6,1,477,5,9.29,10.62,2578,4,24
3,3,643,6,18.21,9.62,3635,6,36
6,1,304,5,6.45,6.59,1991,3,36
2,2,1821,6,35.21,41.77,11538,18,108
1,3,1381,4,37.56,22.88,7684,13,117
2,3,1561,4,46.41,24.42,7857,15,165
5,1,1306,6,25.46,27.49,7467,13,91
8,2,1008,1,22.53,15.68,6169,10,80
6,2,388,6,7.55,7.84,2210,3,27
4,4,1151,4,24.39,21.46,6800,11,121
9,1,1128,2,25.36,24.96,6296,11,110
3,1,1579,1,38.07,37.01,10854,15,165
8,2,826,2,15.52,17.84,4943,8,48
2,2,1152,1,30.8,18.58,7794,11,77
6,3,969,6,20.5,21.49,5456,9,54
9,2,892,2,17.14,19.7,5415,8,80
6,3,980,6,25.17,12.86,5674,9,72
1,1,836,1,16.64,15.11,4971,8,48
4,3,302,2,6.03,6.95,1920,3,30
1,1,546,5,10.71,7.37,2892,5,30
0,1,1807,5,41.91,39.55,11603,18,144
4,4,1800,5,36.7,28.06,10700,18,198
9,4,548,2,16.34,9.99,3222,5,45
7,2,1277,1,33.83,25.73,7533,12,120
5,2,1208,4,29.66,26.38,7914,12,108
8,3,1125,2,22.73,20.42,6544,11,77
7,4,832,3,24.88,18.07,5384,8,80
9,4,663,2,17.22,14.35,3734,6,54
8,3,1118,4,27.28,23.89,5819,11,88
0,2,598,3,11.46,11.65,3011,5,30
1,2,1188,6,33.17,24.72,6078,11,121
7,2,1769,6,50.88,34.03,10161,17,119
7,3,1653,1,41.09,34.48,8305,16,144
2,1,933,4,25.2,15.9,5850,9,108
9,1,1442,5,38.88,27.69,8222,14,126
6,1,1877,5,43.44,46.57,12567,18,180
2,4,1338,1,27.36,31.02,8714,13,156
9,3,1961,1,54.43,34.86,12788,19,228
5,3,735,5,15.03,11.21,4410,7,42
4,2,744,4,15.87,17.42,4267,7,63
2,1,659,2,15.1,11.86,3879,6,72
8,4,1071,2,30.4,25.14,6960,10,80
2,3,1302,3,35.92,26.03,8365,13,130
2,4,1480,4,30.07,36.07,7728,14,98
4,2,1864,3,54.83,26.84,12645,18,180
5,3,1579,2,36.08,32.2,10624,15,135
9,3,1163,5,24.4,25.82,6977,11,66
3,1,429,4,10.85,6.54,2623,4,24
6,4,1010,5,24.73,18.74,5972,10,60
7,1,396,5,8.88,6.6,2185,3,36
10,4,857,2,24.32,20.96,5203,8,72
9,1,1443,2,36.67,24.74,9440,14,168
4,1,1117,2,31.41,23.49,5997,11,99
7,1,521,6,14.87,11.87,3038,5,50
10,2,1700,1,32.48,34.51,8864,17,187
10,3,704,2,19.24,9.64,3558,7,63
2,2,1153,6,27.6,21.72,6867,11,110
0,1,1757,6,32.41,22.95,11769,17,204
10,2,1951,4,35.91,45.64,11181,19,228
4,2,1439,2,32.11,18.16,7197,14,140
2,1,1036,5,27.79,14.72,5874,10,60
1,2,643,1,18.43,13.39,4141,6,48
5,4,1949,6,57.39,26.66,11588,19,228
0,4,410,4,7.85,9.13,2645,4,40
2,2,727,2,17.19,10.69,5008,7,42
9,3,423,6,11.97,5.09,2789,4,36
1,1,541,3,13.68,8.75,2812,5,50
5,4,419,6,11.6,7.58,2197,4,44
4,1,1363,2,37.78,22.69,8454,13,104
6,1,1098,3,31.87,21.5,7118,10,70
3,4,1827,3,40.22,23.43,10495,18,216
10,2,1201,4,23.23,20.51,7474,12,132
7,1,1471,5,31.28,23.74,7977,14,112
1,2,364,4,7.49,6.28,2433,3,30
8,2,1606,5,32.69,31.63,9257,16,112
0,3,843,6,18.98,14.18,5882,8,72
3,4,1788,1,35.77,33.06,9509,17,119
8,1,1015,2,24.74,19.68,5938,10,100
4,4,1843,3,41.53,39.61,9860,18,144
0,3,356,6,7.27,8.61,2452,3,36
9,2,1093,1,21.92,13.7,5633,10,90
6,3,364,1,10.4,5.2,2281,3,36
10,4,1702,6,39.97,22.43,8798,17,204
2,4,1189,3,23.56,15.48,6679,11,99
7,2,1464,1,38.35,32.44,7951,14,154
1,2,577,6,12.33,7.64,3216,5,45
9,4,1274,1,35.4,22.24,6893,12,96
6,4,1130,1,32.63,18.51,6549,11,77
8,3,1711,1,37.1,37.76,8879,17,119
9,2,1244,3,28.08,22.09,8260,12,120
9,3,1402,4,36.47,17.69,9748,14,98
10,3,1607,1,36.65,29.81,9311,16,176
10,2,695,3,17.65,10.16,3977,6,54
8,4,1293,1,38.23,20.6,7667,12,144
7,2,396,4,7.44,7.2,2079,3,30
10,4,1534,2,32.4,25.37,9686,15,135
1,1,944,1,19.19,12.34,4913,9,72
5,1,1085,2,23.57,21.91,6171,10,60
2,2,1881,3,37.6,27.03,11567,18,216
6,3,634,5,15.96,8.58,3592,6,72
6,1,1001,1,23.43,15.4,6443,10,60
7,2,760,5,19.65,15.58,4314,7,56
2,4,970,6,23.31,18.83,6734,9,63
0,3,1719,2,46.74,21.36,12020,17,187
1,1,804,1,23.43,11.25,5499,8,72
5,2,1885,5,34.66,37.23,10648,18,180
5,4,1998,1,51.29,43.81,11120,19,152
7,1,1748,3,38.03,43.66,10898,17,187
3,3,452,4,10.64,5.53,2518,4,32
6,1,1077,4,22.98,19.37,6856,10,110
3,2,1675,3,42.28,35.7,9203,16,160
8,2,1033,1,27.81,21.76,6952,10,80
6,2,1139,6,26.89,23.84,6465,11,121
7,4,767,2,21.53,13.46,4569,7,56
0,3,1892,1,43.54,26.05,11754,18,126
2,3,967,2,26.69,18.08,6518,9,99
5,1,385,4,10.44,6.98,2648,3,33
6,2,507,2,9.29,7.29,2702,5,50
5,4,784,4,17.1,19.17,4722,7,56
6,4,578,3,10.98,8.33,3492,5,30
2,3,303,3,7.84,3.94,2063,3,33
4,2,1985,2,46.72,26.41,11396,19,133
2,1,1472,1,42.64,33.55,9627,14,112
6,4,1719,1,49.46,24.05,11117,17,187
10,4,1488,1,29.39,20.22,9145,14,112
1,4,1273,3,37.51,21.69,7317,12,132
0,2,788,1,17.94,14.99,5002,7,70
8,2,519,6,10.43,7.88,3398,5,55
5,2,1868,1,52.98,38.5,9598,18,162
9,4,1949,3,35.61,42.79,11888,19,114
8,3,1538,6,38.65,37.87,8414,15,180
8,2,1743,3,44.76,35.53,10230,17,187
2,1,764,6,20.63,15.32,3878,7,56
3,3,1247,2,24.34,22.24,6951,12,84
3,4,1210,3,33.43,25.4,7784,12,120
10,1,1026,3,29.34,12.78,6529,10,120
4,1,1962,5,53.84,48.44,12805,19,152
7,4,327,1,6.18,3.96,2229,3,30
5,2,1413,1,35.13,31.5,8152,14,112
9,3,311,2,8.34,6.92,1791,3,18
4,2,1983,6,46.91,24.39,12203,19,114
2,3,1090,5,28.12,15.16,6134,10,90
3,1,1311,4,25.42,22.5,7364,13,78
4,2,503,3,11.83,9.34,3344,5,40
2,4,420,4,9.13,8.36,2139,4,48
8,1,385,4,9.81,8.75,2125,3,27
9,3,1722,5,40.01,40.92,8889,17,204
7,4,1406,1,36.43,32.36,9200,14,140
10,1,616,2,12.92,14.82,3504,6,36
7,3,1598,5,32.74,34.12,8435,15,135
10,4,1939,4,51.94,42.44,12256,19,114
10,2,1066,4,28.67,24.22,6154,10,80
8,1,1644,6,31.64,26.35,10040,16,112
8,4,1375,3,39.17,27.25,8360,13,78
6,4,1472,2,40.4,22.51,8949,14,140
6,4,1388,3,36.93,27.45,7345,13,130
1,2,648,2,19.37,11.2,4337,6,60
7,3,1661,3,41.81,30.42,8406,16,192
3,1,1795,4,48.43,31.94,9710,17,170
1,1,1971,5,47.66,42.59,10741,19,133
4,2,756,4,20.45,14.2,5291,7,42
2,2,1666,6,43.51,37.69,10081,16,176
2,1,850,3,24.23,10.55,5644,8,56
4,3,1296,3,27.31,22.9,8061,12,108
8,2,1954,5,56.79,27.8,12827,19,171
7,1,1752,2,48.94,37.96,11808,17,170
1,3,1896,5,50.27,30.05,10143,18,216
3,3,1705,2,51.09,41.02,11055,17,170
9,2,1148,4,21.51,13.83,6692,11,66
4,2,1076,1,23.61,18.05,5736,10,60
6,3,828,4,21.44,10.75,5694,8,72
8,2,1878,3,45.05,39.22,11003,18,162
3,2,363,1,7.48,5.74,2460,3,21
0,1,1869,3,44.67,41.29,11421,18,144
8,2,1942,5,38.23,24.11,12044,19,133
7,1,1200,2,25.98,16.79,6570,12,132
3,3,1996,6,50.84,35.57,10244,19,171
0,1,1007,2,20.43,21.78,5766,10,120
10,4,779,6,14.55,11.26,5090,7,77
5,1,1501,5,29.43,29.29,7518,15,90
5,4,1706,6,46.31,42.61,11550,17,170
8,1,1187,2,34.13,27.73,7285,11,110
7,4,731,3,14.55,10.11,3727,7,63
7,1,809,2,20.13,10.64,5430,8,88
7,4,1204,6,35.41,19.94,6905,12,108
0,3,1377,6,28.77,19.55,7886,13,117
3,2,1761,2,52.48,26.71,10966,17,119
6,4,606,4,15.52,11.96,3615,6,42
6,2,536,1,13.75,9.93,3383,5,55
4,3,1664,3,43.09,26.03,11520,16,176
5,2,1636,6,44.66,37.52,10616,16,144
10,4,926,4,22.83,12.39,5724,9,54
2,3,1945,1,44.18,45.59,12846,19,171
5,2,919,6,19.31,21.3,5666,9,108
3,1,540,2,15.48,11.42,3470,5,30
8,2,374,6,6.94,4.88,1980,3,24
10,4,1103,1,25.92,19.91,7102,11,88
8,4,1057,5,27.09,15.12,6619,10,120
6,1,592,4,10.86,13.64,3977,5,35
0,3,1378,2,26.25,33.8,7452,13,117
0,3,1279,3,37.37,27.98,8929,12,120
1,4,823,6,19.25,18.23,4552,8,80
2,4,1730,4,33.44,42.65,9270,17,102
8,3,543,3,12.88,11.64,3273,5,35
4,2,924,1,17.39,20.51,5311,9,90
8,2,1343,5,36.82,18.58,8225,13,156
6,3,1958,4,50.78,35.91,11386,19,152
10,1,1465,2,35.89,18.97,9466,14,126
6,1,1833,1,54.95,34.04,10126,18,144
0,2,631,3,11.88,10.56,4049,6,42
0,1,1676,3,35.84,25.64,8760,16,144
0,1,838,6,16.2,17.15,5038,8,88
9,4,630,5,12.1,12.54,4128,6,42
0,2,1931,2,45.8,24.44,11338,19,152
4,2,1173,2,29.1,14.73,6311,11,110
4,1,499,6,9.49,12.45,2975,4,36
4,1,1979,4,38.69,24.86,11232,19,152
8,3,769,2,21.68,18.01,4333,7,84
1,3,888,4,25.76,19.34,5404,8,48
3,1,510,1,9.46,9.6,2604,5,50
6,1,783,4,16.01,19.0,3958,7,49
10,4,1901,1,44.02,26.31,13300,19,190
3,4,1935,4,38.45,28.43,13221,19,209
10,4,845,1,21.66,15.98,4442,8,88
0,3,1635,2,36.73,26.32,9560,16,160
4,4,1516,5,43.13,32.84,8071,15,165
8,1,664,6,18.21,14.92,3655,6,72
9,4,1053,4,20.77,14.73,7366,10,90
7,2,926,2,17.56,12.99,5343,9,81
4,4,510,1,13.24,8.2,2999,5,30
8,3,1422,2,30.17,21.18,8005,14,154
8,1,1358,4,27.58,18.59,7554,13,117
5,4,1054,1,19.04,17.7,5550,10,100
2,2,1093,5,30.65,15.31,6764,10,70
2,1,768,4,14.34,13.97,4780,7,70
10,2,1280,1,25.06,23.6,6741,12,96
3,3,1998,2,54.64,42.05,10562,19,114
4,4,1138,2,28.83,17.77,6725,11,132
8,2,1094,1,32.43,18.97,6749,10,90
9,2,1305,2,28.88,25.25,7849,13,130
8,4,307,1,7.37,5.08,1998,3,33
5,4,607,2,16.29,12.82,3120,6,54
7,3,1634,1,40.0,20.1,8266,16,160
3,1,865,4,17.21,17.75,5997,8,64
1,4,1462,3,35.06,27.51,9180,14,140
6,2,1179,5,30.55,14.46,6833,11,121
9,2,1664,4,49.34,36.68,10752,16,112
2,4,507,3,11.3,11.27,2748,5,60
1,4,775,2,21.45,10.02,4372,7,56
6,1,1179,6,21.89,21.29,6912,11,121
9,1,753,6,21.87,14.58,3872,7,70
4,3,1528,5,36.59,27.45,8585,15,120
4,2,551,2,12.07,11.39,3510,5,50
7,3,1455,6,36.33,21.07,7850,14,112
9,4,1852,1,37.21,37.59,11840,18,216
5,3,998,6,25.22,14.3,5136,9,72
